compound_id,target_id,branch_sequence,branch_pose,branch_structure,consensus_123,disagreement_sd,disagreement_range,disagreement_branch_sd,structure_minus_pose,sequence_minus_structure
849217-68-1,furin,0.1809,0.0512,0.64515,0.3697916666666667,0.28381948077372465,0.6579,0.3122837264945667,0.59395,-0.46425
753498-25-8,furin,0.30485,0.99085,0.92345,0.8428166666666668,0.34523472256809085,0.7924,0.3781103718933577,-0.06740000000000002,-0.6186
56390-09-1,furin,0.62655,0.9821500000000001,0.9272499999999999,0.8954333333333334,0.17334736706009313,0.37349999999999994,0.1914357420476472,-0.05490000000000017,-0.30069999999999986
5370-01-4,furin,0.83335,0.99815,0.99395,0.9685833333333332,0.08822515325385763,0.20779999999999998,0.09395835957131929,-0.0041999999999999815,-0.16059999999999997
90357-06-5,furin,0.393,0.7706,0.6617999999999999,0.6532666666666668,0.18517071762745496,0.4781,0.19436762419017556,-0.10880000000000001,-0.26879999999999993
107007-99-8,furin,0.901,0.7627,0.61815,0.713475,0.18317303749915453,0.4570000000000001,0.14143650813468686,-0.14455000000000007,0.28285000000000005
64872-77-1,furin,0.5076,0.92965,0.99095,0.8899583333333334,0.24306738983253184,0.5798,0.2631574671180736,0.06130000000000002,-0.48334999999999995
5786-21-0,furin,0.5614,0.68855,0.54055,0.5933583333333332,0.2703481360517706,0.782,0.08011017933654457,-0.14800000000000002,0.020850000000000035
101827-46-7,furin,0.5225500000000001,0.0915,0.3127,0.2739416666666667,0.2095344307426984,0.46040000000000003,0.21554990334800278,0.22119999999999998,0.2098500000000001
99614-01-4,furin,0.3518,0.93075,0.80565,0.7717083333333332,0.32912370723888407,0.9236,0.3046344626488167,-0.1251,-0.45385
113-59-7,furin,0.2173,0.7664500000000001,0.0943,0.3388500000000001,0.34503170723862464,0.8193,0.35788274266860093,-0.67215,0.123
56296-78-7,furin,0.8488,0.3078,0.3424,0.4152666666666667,0.32014157284967953,0.8014,0.3028528575617759,0.034599999999999964,0.5064
50357-45-4,furin,0.73265,0.8346,0.8969,0.8487583333333334,0.14196529740280428,0.3729,0.08291879059256312,0.06230000000000002,-0.16425
122883-93-6,furin,0.27235,0.38145,0.7012,0.5231416666666667,0.2541027167636479,0.7444999999999999,0.2228808332569971,0.31975000000000003,-0.42885000000000006
668270-12-0,furin,0.62755,0.89815,0.7554,0.781675,0.2075435632985679,0.5554,0.1353683524068064,-0.14275000000000004,-0.1278499999999999
34183-22-7,furin,0.16194999999999998,0.99615,0.9322,0.8251416666666667,0.4162066009407667,0.8795,0.4642672192103739,-0.06394999999999995,-0.7702500000000001
