compound_id,target_id,branch_sequence,branch_pose,branch_structure,consensus_123,disagreement_sd,disagreement_range,disagreement_branch_sd,structure_minus_pose,sequence_minus_structure
132-18-3,pa_h5n1,0.3194,0.6183000000000001,0.22115,0.36990833333333334,0.20784382999422107,0.488,0.20685034646655379,-0.39715000000000006,0.09825
132539-06-1,pa_h5n1,0.2984,0.1358,0.27925,0.234625,0.1524753542926419,0.41080000000000005,0.08886636502824527,0.14345,0.01915
13292-46-1,pa_h5n1,0.08085,0.49160000000000004,0.18555,0.27011666666666667,0.33056903464581594,0.8769,0.21344173873292296,-0.30605000000000004,-0.10469999999999999
133-67-5,pa_h5n1,0.19305,0.7248,0.58615,0.56685,0.26353504257814875,0.6997,0.2758349430970147,-0.13865000000000005,-0.39309999999999995
133099-07-7,pa_h5n1,0.58505,0.8742,0.83865,0.8082333333333334,0.18522093474190943,0.4985,0.15768348307078117,-0.03554999999999997,-0.25360000000000005
133454-47-4,pa_h5n1,0.51305,0.80945,0.99185,0.8512500000000002,0.29676746957845634,0.8039000000000001,0.24165131905288662,0.1824,-0.4788
134308-13-7,pa_h5n1,0.1374,0.37205,0.4024,0.3481166666666667,0.1482088087800452,0.36610000000000004,0.14503260840238652,0.030349999999999988,-0.265
134523-03-8,pa_h5n1,0.9737,0.09444999999999999,0.88375,0.6356416666666668,0.4400208434457016,0.9904999999999999,0.48376407042414105,0.7893,0.08994999999999997
135729-62-3,pa_h5n1,0.37645,0.30015,0.17345,0.24951666666666664,0.1028144882786468,0.2364,0.1025374565707576,-0.12669999999999998,0.203
136-40-3,pa_h5n1,0.9297,0.33140000000000003,0.318,0.42441666666666666,0.32060546262761447,0.7372000000000001,0.3493611646038141,-0.013400000000000023,0.6116999999999999
136572-09-3,pa_h5n1,0.307,0.9093,0.16155,0.4350416666666667,0.3744930248571616,0.9581000000000001,0.39645324545693067,-0.74775,0.14545
137-58-6,pa_h5n1,0.1896,0.8954500000000001,0.44765,0.5539083333333333,0.3294697679605824,0.833,0.35715049698971446,-0.4478000000000001,-0.25805
137071-32-0,pa_h5n1,0.0558,0.8573500000000001,0.14915,0.36965833333333326,0.40039620877326,0.936,0.43831949249377444,-0.7082,-0.09335
138402-11-6,pa_h5n1,0.49649999999999994,0.8073,0.6487499999999999,0.6762250000000001,0.24277073752822848,0.5923,0.1554106415275351,-0.15855000000000008,-0.15225
138530-94-6,pa_h5n1,0.54085,0.7293499999999999,0.82265,0.7445833333333334,0.2531908009124081,0.6568,0.14355508814853385,0.09330000000000005,-0.28179999999999994
138926-19-9,pa_h5n1,0.8324,0.62885,0.35009999999999997,0.5234,0.2512918336648978,0.7532000000000001,0.24212512433312935,-0.27875000000000005,0.48230000000000006
139110-80-8,pa_h5n1,0.6883,0.7084999999999999,0.6374500000000001,0.6696083333333332,0.1933689470071828,0.5764,0.03661025584905584,-0.07104999999999984,0.05084999999999995
140462-76-6,pa_h5n1,0.53035,0.9497500000000001,0.2015,0.5057250000000001,0.4374681596032638,0.9029,0.37503705261391623,-0.7482500000000001,0.32885
141-90-2,pa_h5n1,0.3603,0.94985,0.20940000000000003,0.48136666666666666,0.39109207313197575,0.8953,0.39128127457537926,-0.7404499999999999,0.15089999999999998
141505-33-1,pa_h5n1,0.9857499999999999,0.72295,0.7074,0.758975,0.15647311164115918,0.38539999999999996,0.15640991283589833,-0.015549999999999953,0.2783499999999999
141625-93-6,pa_h5n1,0.8071999999999999,0.9246,0.851,0.8682333333333335,0.11619057907879911,0.2932,0.05932700340766704,-0.0736,-0.04380000000000006
142340-99-6,pa_h5n1,0.1898,0.38005,0.2071,0.2618666666666667,0.1282962574148859,0.3383,0.10520302197814155,-0.17295,-0.01730000000000001
144-82-1,pa_h5n1,0.4325,0.703,0.93415,0.7734916666666667,0.23258357136020308,0.5951,0.2510820898298669,0.23115000000000008,-0.50165
144060-53-7,pa_h5n1,0.8334999999999999,0.1525,0.42,0.39975000000000005,0.3240851904463804,0.9031,0.34309850383429724,0.26749999999999996,0.4134999999999999
144689-63-4,pa_h5n1,0.66745,0.88835,0.7644500000000001,0.7895833333333333,0.11727320950100525,0.27390000000000003,0.11072264146656423,-0.1238999999999999,-0.09700000000000009
144701-48-4,pa_h5n1,0.38375000000000004,0.7656,0.4596,0.5489583333333333,0.22389639047261717,0.6258999999999999,0.20215449743533612,-0.30599999999999994,-0.07584999999999997
145040-37-5,pa_h5n1,0.10835,0.2858,0.06325,0.14495,0.12035869169555918,0.32589999999999997,0.11765133162583981,-0.22255,0.0451
145108-58-3,pa_h5n1,0.20850000000000002,0.1001,0.25715,0.19669166666666668,0.11754955408961221,0.29479999999999995,0.08039702005256993,0.15705,-0.04864999999999997
146464-95-1,pa_h5n1,0.15425,0.08324999999999999,0.5850500000000001,0.3459833333333333,0.32271398740473994,0.8778,0.27154891517613056,0.5018,-0.43080000000000007
