compound_id,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
175865-59-5,355.1724442560901,-2.1534999999999975,172.99,4,8,1,8,2,2,25,0.5714285714285714,1,0.3876197134248116
148849-67-6,469.26969870408993,1.8929000000000014,61.67,1,5,1,10,4,2,34,0.5185185185185185,0,0.5760234412491368
192725-17-0,628.362470636,4.328140000000003,120.0,4,5,0,15,4,3,46,0.43243243243243246,0,0.199874123748593
63-45-6,260.17573874409,2.065899999999999,61.79,2,3,1,6,2,2,19,0.4,0,0.8354730963570144
443913-73-3,475.1139427800901,3.587100000000002,60.709999999999994,2,5,1,6,4,3,30,0.36363636363636365,0,0.5698509702629736
61-76-7,168.10190510809,-0.38119999999999954,57.07000000000001,3,2,1,3,1,1,12,0.3333333333333333,0,0.5759050364891328
440-17-5,408.17157988009,3.528500000000002,10.920000000000002,1,3,1,4,4,2,28,0.42857142857142855,0,0.8307344936157748
184475-35-2,447.15937298009,2.858500000000001,69.94000000000001,2,6,1,8,4,3,31,0.36363636363636365,1,0.5174237388633043
23256-50-0,231.01987806808998,-0.00929999999999942,76.0,3,1,1,2,1,1,14,0.0,3,0.3808007220814716
58-27-5,172.052429496,2.0119000000000002,34.14,0,2,0,0,2,1,13,0.09090909090909091,0,0.5994834910884169
183320-51-6,379.15320615199994,2.7510000000000012,85.73000000000002,2,7,0,9,3,3,28,0.23809523809523808,2,0.43668147159238385
53716-49-7,272.04837985191006,2.8279000000000005,55.919999999999995,1,2,-1,2,3,3,19,0.13333333333333333,0,0.7798066602926482
54527-84-3,480.21291210008997,2.260700000000001,112.21000000000001,2,7,1,9,3,2,35,0.3076923076923077,3,0.3216533356436632
298-81-7,216.042258736,2.5478000000000005,52.58,0,4,0,1,3,3,16,0.08333333333333333,1,0.5863590335117103
51-30-9,212.12811985609,0.10300000000000009,77.30000000000001,4,3,1,4,1,1,15,0.45454545454545453,1,0.5346782625645278
34381-68-5,337.21218382808996,1.3393000000000002,92.24000000000001,3,4,1,10,1,1,24,0.5555555555555556,1,0.5618624951770448
51022-70-9,240.15941998409,0.2798000000000001,77.30000000000001,4,3,1,4,1,1,17,0.5384615384615384,0,0.6103090427518448
13492-01-8,134.09642580409,0.7843999999999995,27.64,1,0,1,1,2,1,10,0.3333333333333333,0,0.5876903631319248
536-33-4,166.05646932,1.2782,38.91,1,2,0,2,1,1,11,0.25,1,0.6725460532160716
25332-39-2,372.15856445609006,0.9445999999999997,46.980000000000004,1,3,1,5,4,3,26,0.3684210526315789,0,0.7249345359261311
496775-61-2,441.15682873190997,3.230140000000002,117.42,2,7,-1,5,4,3,33,0.12,2,0.4656399387325317
100643-71-8,311.13095274009,2.9927,29.5,1,1,1,0,4,2,22,0.3157894736842105,0,0.7961111285945959
123318-82-1,303.053445112,-0.34940000000000027,119.31000000000002,3,7,0,2,3,2,20,0.5,1,0.648649936215886
36791-04-5,244.080769484,-3.0114999999999994,143.72000000000003,4,7,0,3,2,1,17,0.625,0,0.44284203167437103
198480-56-7,471.26421940009,4.9139200000000045,59.06,3,3,1,7,5,4,35,0.3333333333333333,0,0.3588400484832849
201530-41-8,372.09897950791,2.3760000000000003,111.3,2,6,-1,4,4,4,28,0.0,0,0.5688769559435355
111406-87-2,236.061948624,2.7321999999999997,66.56,2,3,0,2,2,2,16,0.18181818181818182,2,0.621567647628534
2627-69-2,258.09641954800003,-2.8242999999999996,156.85000000000002,5,7,0,3,2,1,18,0.5555555555555556,0,0.3908498923708794
3717-88-2,392.18563473208997,2.9940200000000017,60.949999999999996,1,4,1,5,4,3,29,0.3333333333333333,1,0.6784032165726454
133099-07-7,427.23800465209,2.5404,56.760000000000005,2,2,1,7,5,3,32,0.32142857142857145,0,0.6089217233728879
223673-61-8,397.16927346009004,1.7460000000000009,104.85,4,5,1,9,3,3,28,0.23809523809523808,1,0.412902267681634
50-28-2,272.177630008,3.6092000000000026,40.46,2,2,0,0,4,1,20,0.6666666666666666,0,0.757169743555686
641571-10-0,530.1910694360901,5.774940000000005,98.87,2,5,1,6,5,5,39,0.10714285714285714,0,0.290262022507963
21462-39-5,425.18714728809,-1.0275999999999967,103.46000000000001,5,6,1,7,2,0,27,0.9444444444444444,1,0.3342275857333282
169590-42-5,381.07588234799994,3.5139200000000006,77.98,1,3,0,3,3,3,26,0.11764705882352941,0,0.7541053298167572
53885-35-1,264.06082458009,2.5427,4.44,1,1,1,2,3,2,17,0.2857142857142857,0,0.8504053019619108
191732-72-6,259.095691276,0.029799999999999882,92.5,2,4,0,1,3,1,19,0.3076923076923077,2,0.5494349129687401
144598-75-4,427.21399539608996,1.6642199999999998,85.59,2,5,1,4,5,3,31,0.5217391304347826,0,0.6616473235554238
154-69-8,256.18082412409,1.2327000000000006,20.57,1,2,1,6,2,2,19,0.3125,0,0.8389502563588367
103577-45-3,370.0831588000901,2.9343200000000005,69.12,1,3,1,5,3,3,25,0.25,0,0.750807307032013
62893-19-0,644.1351243719103,-2.4466999999999928,223.08999999999995,3,13,-1,9,5,2,44,0.4,3,0.14672379292554738
73590-58-6,346.12198892009,2.31884,78.35,1,4,1,5,3,3,24,0.29411764705882354,0,0.7688969417435119
72432-03-2,208.11794909609,-4.6791999999999945,105.59000000000002,6,5,1,3,1,0,14,1.0,0,0.27955883457048564
444731-52-6,437.16339397600007,3.1390400000000005,119.03,2,7,0,5,4,4,31,0.19047619047619047,0,0.4921501033338167
50-63-5,321.19607841617994,2.8125999999999998,30.61,2,1,2,8,2,2,22,0.5,0,0.7692912634314394
364782-34-3,358.17771081609004,5.115800000000004,16.61,1,0,1,6,3,3,26,0.2727272727272727,1,0.5894393592050658
61318-91-0,397.00942897208995,5.937100000000003,19.07,0,1,1,6,3,3,24,0.16666666666666666,0,0.502765756351852
30652-11-0,139.063328528,0.39931999999999984,42.23,1,2,0,0,1,1,10,0.2857142857142857,0,0.5649178764789872
165800-03-3,337.1437843399999,1.1235999999999997,71.11,1,5,0,4,3,1,24,0.5,0,0.8915973887511962
321-30-2,135.05449516,-0.0648999999999999,80.48,2,4,0,0,2,2,10,0.0,0,0.5296759293780585
91-33-8,430.98349660799994,2.4335000000000004,118.69,2,6,0,5,3,2,26,0.13333333333333333,0,0.7498958613046711
134308-13-7,273.06372245200004,2.545420000000002,100.67,2,5,0,3,2,2,20,0.07142857142857142,4,0.38710486030618185
152459-95-5,494.2662850640901,3.1732200000000015,87.48,3,6,1,7,5,4,37,0.2413793103448276,0,0.3659166129867811
82586-55-8,438.2154720599999,0.20620000000000283,103.35,1,5,0,9,3,2,32,0.4,1,0.5638703373109077
475207-59-1,464.086302712,5.549700000000003,92.35000000000001,3,4,0,5,3,3,32,0.09523809523809523,0,0.4613395020059931
75706-12-6,270.061612188,3.2541200000000012,55.13,1,3,0,2,2,2,19,0.16666666666666666,0,0.9108229912132475
41621-49-2,206.11865233191,2.55032,45.06,0,2,-1,1,2,1,15,0.5833333333333334,0,0.7084080931990356
4205-91-8,230.02462910008998,0.4450999999999998,38.03,3,2,1,1,2,1,14,0.2222222222222222,0,0.6559315977745085
479-18-5,254.101504928,-2.213099999999999,102.28,2,5,0,3,2,2,18,0.5,0,0.6460832424087163
73963-72-1,369.21647510400004,3.4647000000000014,81.93,1,5,0,7,4,2,27,0.6,1,0.755913406639335
135729-62-3,297.19613984009004,1.2393999999999998,24.750000000000004,1,1,1,1,6,1,22,0.631578947368421,0,0.8286869281130633
6018-19-5,152.03531663191,-0.6621000000000001,86.38000000000001,2,4,-1,1,1,1,11,0.0,1,0.5226981672670166
78415-72-2,211.074561908,1.617,69.53999999999999,1,3,0,1,2,2,16,0.08333333333333333,0,0.7786697771862998
50-35-1,258.0640568,0.08779999999999993,83.55000000000001,1,4,0,1,3,1,19,0.23076923076923078,1,0.7233587999857974
319460-85-0,386.1201321960001,4.639100000000004,70.67,2,4,0,5,4,4,28,0.045454545454545456,0,0.5241908173512972
69-52-3,349.10962708799997,-1.7333999999999976,117.18,2,5,0,4,3,1,24,0.4375,1,0.6263698534142854
6493-05-6,278.13789043599996,0.19300000000000006,78.89,0,4,0,5,2,2,20,0.5384615384615384,1,0.7314900236053014
183319-69-9,393.16885621599994,3.405100000000002,74.73000000000002,1,7,0,10,3,3,29,0.2727272727272727,2,0.4178840975839869
219861-08-2,325.17106796409,2.395880000000001,37.46,1,2,1,5,3,2,24,0.35,0,0.9164902384308174
82640-04-8,474.1733557960899,4.658100000000006,71.2,3,5,1,7,5,4,34,0.25,1,0.34092470924185697
2809-21-4,202.95269649973002,-2.8881999999999994,143.78,2,6,-3,2,0,0,11,1.0,1,0.4578842124152752
129497-78-5,718.300264304,4.803640000000004,177.64,2,9,0,9,6,3,53,0.3170731707317073,2,0.23233143214166055
