compound_id,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
302-79-4,299.20165368391,4.267900000000004,40.129999999999995,0,2,-1,5,1,0,22,0.45,2,0.5616544918724433
302962-49-8,488.16299820409,2.73264,107.76,3,8,1,7,4,3,33,0.36363636363636365,0,0.46895667674264735
304-20-1,161.08217270808998,0.33450000000000013,65.08,2,3,1,1,2,2,12,0.0,2,0.4677584214016386
3056-17-5,224.079706864,-0.7090799999999999,84.32,2,5,0,2,2,1,16,0.4,1,0.6498890462135971
30652-11-0,139.063328528,0.39931999999999984,42.23,1,3,0,0,1,1,10,0.2857142857142857,0,0.5649178764789872
319460-85-0,386.1201321960001,4.639100000000004,70.67,2,4,0,5,4,4,28,0.045454545454545456,0,0.5241908173512972
320345-99-1,484.16107686008996,4.666800000000005,55.760000000000005,1,6,1,9,6,3,33,0.4230769230769231,3,0.272537178442321
321-30-2,135.05449516,-0.0648999999999999,80.48,2,4,0,0,2,2,10,0.0,0,0.5296759293780585
32986-56-4,472.29551002445004,-9.87980000000001,276.27000000000004,10,9,5,6,3,0,32,1.0,0,0.17527246986130968
33069-62-4,853.330955312,3.7357000000000036,221.28999999999996,4,14,0,10,7,3,62,0.44680851063829785,3,0.12978619445124503
330784-47-9,483.17856537200004,2.4318,125.39000000000001,3,9,0,9,4,3,34,0.34782608695652173,0,0.42031663549016557
33402-03-8,168.10190510809,0.05599999999999988,68.10000000000001,3,2,1,2,1,1,12,0.3333333333333333,0,0.5840139400031056
33419-42-0,588.1842910839998,1.3385999999999993,160.83,3,13,0,5,7,2,42,0.5517241379310345,1,0.4298292584463983
341031-54-7,399.21908077609,1.91784,78.43,4,2,1,7,3,2,29,0.36363636363636365,1,0.5370258571097166
34183-22-7,342.20637017609,2.2152000000000003,63.14000000000001,2,3,1,11,2,2,25,0.38095238095238093,2,0.4860971257197134
34381-68-5,337.21218382808996,1.3393000000000002,92.24000000000001,3,4,1,10,1,1,24,0.5555555555555556,1,0.5618624951770448
34552-83-5,477.23033242809,3.670900000000004,44.980000000000004,2,2,1,7,4,3,34,0.3448275862068966,0,0.5450497541894281
34580-14-8,310.12601168008996,2.5973000000000006,21.51,1,2,1,0,4,2,22,0.3157894736842105,0,0.793449694177779
3543-75-7,356.09380581990996,1.9299000000000002,61.190000000000005,0,5,-1,9,2,2,23,0.5,1,0.6437291201561798
36322-90-4,330.05540044390995,0.38329999999999953,102.43,1,5,-1,2,3,2,23,0.06666666666666667,0,0.8575760989593547
364782-34-3,358.17771081609004,5.115800000000004,16.61,1,0,1,6,3,3,26,0.2727272727272727,1,0.5894393592050658
367514-88-3,493.26317384409003,2.838700000000001,57.95,1,5,1,5,7,2,35,0.6785714285714286,1,0.6511696390310648
36791-04-5,244.080769484,-3.0114999999999994,143.72000000000003,4,8,0,3,2,1,17,0.625,0,0.44284203167437103
3717-88-2,392.18563473208997,2.9940200000000017,60.949999999999996,1,4,1,5,4,3,29,0.3333333333333333,1,0.6784032165726454
3801-06-7,418.215552312,3.494100000000002,80.67,1,5,0,2,4,0,30,0.7083333333333334,1,0.6945533405618345
380843-75-4,530.17202160009,3.7732800000000033,84.08,2,7,1,9,4,3,36,0.38461538461538464,1,0.4070132206554272
38194-50-2,355.08096717191,3.030800000000002,57.199999999999996,0,3,-1,4,3,2,25,0.15,0,0.8470253401152333
38304-91-5,209.12766009999999,-0.13029999999999975,95.11,2,5,0,1,2,1,15,0.5555555555555556,2,0.49592964212759716
389-08-2,231.07751579191,0.08831999999999973,75.02000000000001,0,5,-1,2,2,2,17,0.25,0,0.7335821391572781
3963-95-9,442.137615664,-3.0526999999999953,185.65,6,8,0,2,4,1,32,0.3181818181818182,1,0.2607381742792994
