compound_id,target_id,is_h3n2,is_h5n1,glidesp_pr_x_h3n2,pignet2_pr_x_h3n2,ligunity_pr_x_h3n2,boltz2_pr_x_h3n2,balm_pr_x_h3n2,mammal_pr_x_h3n2,glidesp_pr_x_h5n1,pignet2_pr_x_h5n1,ligunity_pr_x_h5n1,boltz2_pr_x_h5n1,balm_pr_x_h5n1,mammal_pr_x_h5n1
1953-02-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0798,0.0793,0.2366,0.3108,0.4044,0.8396
196597-26-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8533,0.6083,0.6668,0.9596,0.6007,0.3536
19767-45-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7725,0.8579,0.7706,0.5681,0.9956,0.7105
19774-82-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9757,0.9147,0.612,0.7717,0.4883,0.7595
198480-56-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8479,0.9615,0.3171,0.1411,0.3601,0.154
201530-41-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7376,0.7302,0.9518,0.9955,0.2786,0.0101
202138-50-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9986,0.9364,0.8498,0.6661,0.4017,0.0185
2030-63-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1551,0.6899,0.5424,0.2585,0.8028,0.1665
204255-11-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.895,0.9746,0.6467,0.5509,0.8203,0.9748
2062-78-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0381,0.3788,0.8038,0.3676,0.8131,0.3399
2068-78-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9586,0.9972,0.6598,0.7656,0.0513,0.4349
211915-06-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5211,0.3842,0.7735,0.465,0.2758,0.0048
21256-18-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7693,0.7086,0.8881,0.8153,0.623,0.8209
2135-17-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2674,0.6801,0.3594,0.6965,0.2415,0.6496
21679-14-1,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2784,0.3615,0.4746,0.6202,0.1816,0.7771
21736-83-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9673,0.5763,0.5401,0.2222,0.1065,0.2217
2192-20-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8573,0.8079,0.9618,0.923,0.1461,0.3552
220127-57-1,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2753,0.4341,0.554,0.0591,0.0221,0.0675
220620-09-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5931,0.177,0.903,0.298,0.2277,0.0817
22254-24-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5599,0.6002,0.0423,0.5435,0.3073,0.6811
22260-51-1,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6349,0.3493,0.9943,0.9898,0.2008,0.286
223673-61-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9721,0.9364,0.9982,0.972,0.3321,0.7306
224785-90-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8605,0.5388,0.6048,0.6115,0.4333,0.3194
22916-47-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9513,0.8375,0.8977,0.5292,0.7446,0.4866
231277-92-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9984,0.935,0.8351,0.9924,0.4475,0.1257
