compound_id,target_id,isomeric_smiles,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr
183320-51-6,furin,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCO)cc23)c1,0.2891,0.1133,0.0386,0.1862,0.5656,0.9623
53716-49-7,furin,C[C@@H](C(=O)[O-])c1ccc2c(c1)[nH]c1ccc(Cl)cc12,0.8512,0.6699,0.4474,0.1108,0.3493,0.0746
54527-84-3,furin,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC[N@H+](C)Cc2ccccc2)[C@@H]1c1cccc([N+](=O)[O-])c1,0.4815,0.6695,0.1179,0.322,0.5928,0.1292
298-81-7,furin,COc1c2occc2cc2ccc(=O)oc12,0.1862,0.7184,0.288,0.4085,0.2402,0.1805
51-30-9,furin,CC(C)[NH2+]C[C@H](O)c1ccc(O)c(O)c1,0.9887,0.8688,0.7301,0.8264,0.5018,0.0876
34381-68-5,furin,CCCC(=O)Nc1ccc(OC[C@H](O)C[NH2+]C(C)C)c(C(C)=O)c1,0.1028,0.2799,0.0579,0.0678,0.0355,0.3309
51022-70-9,furin,CC(C)(C)[NH2+]C[C@@H](O)c1ccc(O)c(CO)c1,0.9953,0.8579,0.6288,0.9047,0.3802,0.4424
13492-01-8,furin,[NH3+][C@@H]1C[C@H]1c1ccccc1,0.6102,0.1463,0.2711,0.2658,0.3995,0.8232
536-33-4,furin,CCc1cc(C(N)=S)ccn1,0.4106,0.6409,0.9783,0.9924,0.1566,0.2776
25332-39-2,furin,O=c1n(CCC[NH+]2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,0.4197,0.0653,0.6616,0.2033,0.7498,0.829
496775-61-2,furin,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)[O-])c2)c1O,0.9917,0.9184,0.2759,0.3146,0.034,0.0264
100643-71-8,furin,Clc1ccc2c(c1)CCc1cccnc1C2=C1CC[NH2+]CC1,0.0735,0.033,0.7879,0.6602,0.3827,0.4236
123318-82-1,furin,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,0.7,0.3177,0.6576,0.6399,0.4622,0.1728
36791-04-5,furin,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,0.1566,0.0062,0.3733,0.1993,0.0106,0.2571
