compound_id,target_id,isomeric_smiles,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr
119302-91-9,furin,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,0.9577,0.7317,0.953,0.9972,0.1502,0.0751
1070-11-7,furin,CC[C@H](CO)[NH2+]CC[NH2+][C@H](CC)CO,0.3169,0.4002,0.1628,0.2295,0.0411,0.0717
50-55-5,furin,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,0.9659,0.8532,0.5053,0.2124,0.0093,0.5004
22260-51-1,furin,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2([O-])O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,0.6367,0.6085,0.1696,0.1113,0.3163,0.2341
541-22-0,furin,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.1123,0.0407,0.5818,0.7867,0.5765,0.0962
865-21-4,furin,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,0.9501,0.9674,0.7378,0.9805,0.7778,0.3665
52-21-1,furin,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0.9905,0.999,0.7467,0.7559,0.7625,0.7957
83905-01-5,furin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C[N@@H+](C)[C@H](C)[C@@H](O)[C@]1(C)O,0.9741,0.9754,0.9111,0.9365,0.8013,0.7236
72559-06-9,furin,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c([O-])c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,0.9961,0.9927,0.6308,0.151,0.9014,0.1361
1476-53-5,furin,CO[C@@H]1[C@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c([O-])c(NC(=O)c4ccc([O-])c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,0.3672,0.8947,0.0708,0.2585,0.5356,0.733
297-76-7,furin,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,0.9669,0.7815,0.9079,0.9977,0.4074,0.6269
5593-20-4,furin,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.9934,0.999,0.9462,0.983,0.6547,0.8516
64-77-7,furin,CCCCNC(=O)[N-]S(=O)(=O)c1ccc(C)cc1,0.1193,0.3445,0.5499,0.5013,0.5728,0.826
