compound_id,target_id,is_h3n2,is_h5n1,glidesp_pr_x_h3n2,pignet2_pr_x_h3n2,ligunity_pr_x_h3n2,boltz2_pr_x_h3n2,balm_pr_x_h3n2,mammal_pr_x_h3n2,glidesp_pr_x_h5n1,pignet2_pr_x_h5n1,ligunity_pr_x_h5n1,boltz2_pr_x_h5n1,balm_pr_x_h5n1,mammal_pr_x_h5n1
133099-07-7,pa_h3n2,1,0,0.9986,0.9195,0.6061,0.8499,0.0697,0.4929,0.0,0.0,0.0,0.0,0.0,0.0
133454-47-4,pa_h3n2,1,0,0.2539,0.5534,0.5367,0.8017,0.6859,0.2378,0.0,0.0,0.0,0.0,0.0,0.0
134308-13-7,pa_h3n2,1,0,0.392,0.2147,0.7102,0.8088,0.0541,0.6017,0.0,0.0,0.0,0.0,0.0,0.0
134523-03-8,pa_h3n2,1,0,0.136,0.06,0.9109,0.7615,0.6504,0.6988,0.0,0.0,0.0,0.0,0.0,0.0
135729-62-3,pa_h3n2,1,0,0.2497,0.0519,0.4026,0.4962,0.6814,0.573,0.0,0.0,0.0,0.0,0.0,0.0
136-40-3,pa_h3n2,1,0,0.6018,0.2444,0.6833,0.5278,0.9938,0.8826,0.0,0.0,0.0,0.0,0.0,0.0
136572-09-3,pa_h3n2,1,0,0.4413,0.2308,0.2031,0.2888,0.0356,0.3728,0.0,0.0,0.0,0.0,0.0,0.0
137-58-6,pa_h3n2,1,0,0.7666,0.6734,0.3321,0.6508,0.337,0.7111,0.0,0.0,0.0,0.0,0.0,0.0
137071-32-0,pa_h3n2,1,0,0.2586,0.4667,0.0905,0.0677,0.0935,0.0412,0.0,0.0,0.0,0.0,0.0,0.0
138402-11-6,pa_h3n2,1,0,0.9958,0.9891,0.4162,0.8205,0.8472,0.466,0.0,0.0,0.0,0.0,0.0,0.0
138530-94-6,pa_h3n2,1,0,0.8213,0.9477,0.7977,0.648,0.213,0.5394,0.0,0.0,0.0,0.0,0.0,0.0
138926-19-9,pa_h3n2,1,0,0.6201,0.6619,0.3707,0.5534,0.2798,0.9323,0.0,0.0,0.0,0.0,0.0,0.0
139110-80-8,pa_h3n2,1,0,0.3683,0.3328,0.2073,0.044,0.7367,0.9209,0.0,0.0,0.0,0.0,0.0,0.0
140462-76-6,pa_h3n2,1,0,0.7935,0.9255,0.1415,0.2188,0.9668,0.151,0.0,0.0,0.0,0.0,0.0,0.0
141-90-2,pa_h3n2,1,0,0.7208,0.5046,0.2697,0.2734,0.5962,0.1524,0.0,0.0,0.0,0.0,0.0,0.0
141505-33-1,pa_h3n2,1,0,0.9226,0.9241,0.8249,0.8331,0.4004,0.9808,0.0,0.0,0.0,0.0,0.0,0.0
141625-93-6,pa_h3n2,1,0,0.9317,0.8797,0.8228,0.5511,0.6456,0.6778,0.0,0.0,0.0,0.0,0.0,0.0
142340-99-6,pa_h3n2,1,0,0.6816,0.8154,0.8195,0.8206,0.2912,0.7341,0.0,0.0,0.0,0.0,0.0,0.0
144-82-1,pa_h3n2,1,0,0.5638,0.9904,0.8871,0.9869,0.5827,0.4112,0.0,0.0,0.0,0.0,0.0,0.0
144060-53-7,pa_h3n2,1,0,0.9379,0.9084,0.7854,0.7725,0.7705,0.1691,0.0,0.0,0.0,0.0,0.0,0.0
144689-63-4,pa_h3n2,1,0,0.8222,0.7062,0.9749,0.9415,0.5851,0.7576,0.0,0.0,0.0,0.0,0.0,0.0
144701-48-4,pa_h3n2,1,0,0.3204,0.3509,0.2224,0.6294,0.4354,0.7055,0.0,0.0,0.0,0.0,0.0,0.0
145040-37-5,pa_h3n2,1,0,0.9043,0.4779,0.7143,0.7474,0.0058,0.0689,0.0,0.0,0.0,0.0,0.0,0.0
145108-58-3,pa_h3n2,1,0,0.9168,0.6186,0.976,0.7653,0.1271,0.4121,0.0,0.0,0.0,0.0,0.0,0.0
146464-95-1,pa_h3n2,1,0,0.069,0.3326,0.6113,0.1139,0.6727,0.2965,0.0,0.0,0.0,0.0,0.0,0.0
147-94-4,pa_h3n2,1,0,0.72,0.9681,0.5927,0.4222,0.2877,0.862,0.0,0.0,0.0,0.0,0.0,0.0
147127-20-6,pa_h3n2,1,0,0.5957,0.7109,0.124,0.2121,0.6159,0.2085,0.0,0.0,0.0,0.0,0.0,0.0
147403-03-0,pa_h3n2,1,0,0.9974,0.9678,0.999,0.6163,0.5245,0.664,0.0,0.0,0.0,0.0,0.0,0.0
1476-53-5,pa_h3n2,1,0,0.0377,0.0687,0.4014,0.2233,0.3606,0.2105,0.0,0.0,0.0,0.0,0.0,0.0
148-79-8,pa_h3n2,1,0,0.4499,0.3371,0.8139,0.9222,0.7218,0.1083,0.0,0.0,0.0,0.0,0.0,0.0
148849-67-6,pa_h3n2,1,0,0.6655,0.7089,0.3787,0.2972,0.0225,0.105,0.0,0.0,0.0,0.0,0.0,0.0
149647-78-9,pa_h3n2,1,0,0.6411,0.3996,0.6877,0.6701,0.5478,0.1966,0.0,0.0,0.0,0.0,0.0,0.0
150-76-5,pa_h3n2,1,0,0.3816,0.6062,0.1837,0.137,0.641,0.4018,0.0,0.0,0.0,0.0,0.0,0.0
150322-43-3,pa_h3n2,1,0,0.4849,0.4816,0.6362,0.5524,0.2388,0.4714,0.0,0.0,0.0,0.0,0.0,0.0
150399-23-8,pa_h3n2,1,0,0.9796,0.9018,0.5396,0.9021,0.6803,0.7926,0.0,0.0,0.0,0.0,0.0,0.0
150683-30-0,pa_h3n2,1,0,0.0201,0.1256,0.6564,0.5067,0.357,0.728,0.0,0.0,0.0,0.0,0.0,0.0
1508-65-2,pa_h3n2,1,0,0.7557,0.8813,0.8095,0.5479,0.3569,0.1089,0.0,0.0,0.0,0.0,0.0,0.0
1508-75-4,pa_h3n2,1,0,0.2243,0.2745,0.7493,0.1515,0.328,0.7452,0.0,0.0,0.0,0.0,0.0,0.0
1508-76-5,pa_h3n2,1,0,0.512,0.14,0.0101,0.0228,0.1275,0.8189,0.0,0.0,0.0,0.0,0.0,0.0
152-62-5,pa_h3n2,1,0,0.2145,0.0652,0.6369,0.8837,0.7322,0.997,0.0,0.0,0.0,0.0,0.0,0.0
152520-56-4,pa_h3n2,1,0,0.9966,0.9552,0.9984,0.981,0.8806,0.9154,0.0,0.0,0.0,0.0,0.0,0.0
