compound_id,target_id,branch_sequence_pr,branch_pose_pr,branch_structure_pr,consensus_123_pr,disagreement_sd_pr,disagreement_range_pr,disagreement_branch_sd_pr,structure_minus_pose_pr,sequence_minus_structure_pr
152520-56-4,pa_ph1n1,0.9944500000000001,0.7456499999999999,0.9431,0.8858416666666667,0.1753878901178756,0.4566,0.13135496754976578,0.19745000000000013,0.05135000000000001
15307-81-0,pa_ph1n1,0.1205,0.876,0.7372000000000001,0.6806833333333332,0.3660849901320731,0.9029,0.4021534905978065,-0.13879999999999992,-0.6167
153559-49-0,pa_ph1n1,0.3851,0.42210000000000003,0.6412,0.5254833333333334,0.2448155387225247,0.6749,0.1384202658572797,0.21909999999999996,-0.2561
154229-19-3,pa_ph1n1,0.4253,0.53685,0.33075,0.4152083333333334,0.17660074367529335,0.4592,0.10316678648350612,-0.20610000000000006,0.09455000000000002
154361-50-9,pa_ph1n1,0.79295,0.9390000000000001,0.64985,0.7700833333333333,0.19723200213623213,0.5698,0.14457750804787492,-0.28915,0.1431
155206-00-1,pa_ph1n1,0.65005,0.92125,0.55965,0.69525,0.26326079401739005,0.6271,0.1881826063517384,-0.36160000000000003,0.09040000000000004
155213-67-5,pa_ph1n1,0.2691,0.5297499999999999,0.9689,0.7058833333333333,0.37055921928890123,0.9568,0.3536738575297869,0.43915000000000004,-0.6998
156-57-0,pa_ph1n1,0.11245,0.01495,0.4794,0.26342499999999996,0.26257788685772204,0.7027,0.24490554471741416,0.46445,-0.36695
15686-71-2,pa_ph1n1,0.1302,0.24065,0.42045,0.3121416666666667,0.2025831450705282,0.46649999999999997,0.1464993202487074,0.1798,-0.29025
159811-51-5,pa_ph1n1,0.58995,0.64455,0.9365,0.7814249999999999,0.2492002782234937,0.575,0.18632984418319395,0.29195000000000004,-0.34655
160970-54-7,pa_ph1n1,0.2702,0.54555,0.8544499999999999,0.6541083333333333,0.282806871675118,0.7401,0.29228550397399683,0.30889999999999995,-0.5842499999999999
161735-79-1,pa_ph1n1,0.19135,0.43010000000000004,0.4693,0.4099083333333333,0.24973441426176463,0.663,0.150440688755846,0.03919999999999996,-0.27795000000000003
161814-49-9,pa_ph1n1,0.14450000000000002,0.7026,0.15445,0.3355083333333333,0.2929398351197734,0.677,0.31938561724035097,-0.54815,-0.009949999999999987
162011-90-7,pa_ph1n1,0.3913,0.056549999999999996,0.5156000000000001,0.3418666666666667,0.216353532441696,0.522,0.23742892094266868,0.45905000000000007,-0.12430000000000008
