compound_id,target_id,isomeric_smiles,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,exact_mol_wt,logp,tpsa,hbd,hba,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,qed
22916-47-8,furin,Clc1ccc(CO[C@@H](Cn2cc[nH+]c2)c2ccc(Cl)cc2Cl)c(Cl)c1,0.5277,0.8233,0.7397,0.7789,0.1393,0.498,414.9933002400901,5.873900000000003,28.3,0,2,6,3,3,25,0.1666666666666666,0.4930387662168743
83915-83-7,furin,[NH3+]CCCC[C@H]([NH2+][C@@H](CCc1ccccc1)C(=O)[O-])C(=O)N1CCC[C@H]1C(=O)[O-],0.9277,0.9084,0.2035,0.8518,0.108,0.1947,405.226371092,-3.177199999999994,144.82,2,5,12,2,1,29,0.5714285714285714,0.352332132035191
14028-44-5,furin,Clc1ccc2c(c1)C(N1CC[NH2+]CC1)=Nc1ccccc1O2,0.508,0.9279,0.7087,0.602,0.6471,0.4756,314.10546626409,2.4030000000000005,41.44,1,3,0,4,2,22,0.2352941176470588,0.8110775890658081
439081-18-2,furin,C[NH+](C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,0.8466,0.8666,0.8719,0.7318,0.8912,0.9837,486.17027201209,2.9728000000000003,89.81,3,6,8,4,3,34,0.2916666666666667,0.4241302751360584
548-73-2,furin,O=C(CCC[N@@H+]1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0.7863,0.3717,0.4146,0.6421,0.5044,0.2803,380.1768816160901,2.2613000000000003,59.3,2,3,6,4,3,28,0.2727272727272727,0.6447658529130625
849217-68-1,furin,COc1cc2[nH+]ccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,0.0161,0.0863,0.6163,0.674,0.1155,0.2463,502.17727554009,4.959900000000004,100.03000000000002,2,5,8,5,4,37,0.1785714285714285,0.3319292272180311
753498-25-8,furin,CCc1cc2c(cc1CC)CC([NH2+]C[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2,0.9833,0.9984,0.8765,0.9704,0.206,0.4037,393.21726920809,2.122699999999999,89.93,4,3,6,4,3,29,0.375,0.5171431157408912
56390-09-1,furin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H]([NH3+])[C@@H](O)[C@H](C)O1,0.9713,0.993,0.968,0.8865,0.6336,0.6195,544.18133720009,-0.7154999999999982,207.69,6,11,5,5,2,39,0.4444444444444444,0.2210024780657793
5370-01-4,furin,Cc1cccc(C)c1OC[C@@H](C)[NH3+],0.9973,0.999,0.999,0.9889,0.7912,0.8755,180.13829061609,1.3126399999999998,36.870000000000005,1,1,3,1,1,13,0.4545454545454545,0.7478639675821351
90357-06-5,furin,C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,0.7768,0.7644,0.6969,0.6267,0.4873,0.2987,430.061040808,2.8795800000000007,107.26,2,5,5,2,2,29,0.2222222222222222,0.5604120760868545
