compound_id,target_id,isomeric_smiles,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,exact_mol_wt,logp,tpsa,hbd,hba,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,qed
154-69-8,furin,C[NH+](C)CCN(Cc1ccccc1)c1ccccn1,0.9118,0.9732,0.995,0.9589,0.3311,0.0367,256.18082412409,1.2327000000000006,20.57,1,2,6,2,2,19,0.3125,0.8389502563588367
103577-45-3,furin,Cc1c(OCC(F)(F)F)cc[nH+]c1C[S@@](=O)c1nc2ccccc2[nH]1,0.1823,0.1441,0.1741,0.1126,0.817,0.526,370.0831588000901,2.9343200000000005,69.12,1,3,5,3,3,25,0.25,0.750807307032013
62893-19-0,furin,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,0.5124,0.5336,0.1818,0.2039,0.3125,0.021,644.1351243719103,-2.4466999999999928,223.08999999999995,3,14,9,5,2,44,0.4,0.1467237929255473
73590-58-6,furin,COc1ccc2nc([S@](=O)Cc3[nH+]cc(C)c(OC)c3C)[nH]c2c1,0.987,0.5696,0.7804,0.7798,0.1487,0.3431,346.12198892009,2.31884,78.35,1,4,5,3,3,24,0.2941176470588235,0.7688969417435119
72432-03-2,furin,OCC[N@H+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0.331,0.2475,0.3938,0.3464,0.0424,0.3319,208.11794909609,-4.6791999999999945,105.59000000000002,6,5,3,1,0,14,1.0,0.2795588345704856
444731-52-6,furin,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,0.5215,0.8598,0.9968,0.9915,0.5079,0.9972,437.16339397600007,3.1390400000000005,119.03,2,8,5,4,4,31,0.1904761904761904,0.4921501033338167
50-63-5,furin,CC[NH+](CC)CCC[C@@H](C)Nc1cc[nH+]c2cc(Cl)ccc12,0.1364,0.1155,0.054,0.1456,0.2316,0.186,321.19607841617994,2.8126,30.61,2,1,8,2,2,22,0.5,0.7692912634314394
364782-34-3,furin,C[C@@H]([NH2+]CCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,0.1338,0.807,0.5208,0.5353,0.2372,0.3948,358.17771081609004,5.115800000000004,16.61,1,0,6,3,3,26,0.2727272727272727,0.5894393592050658
61318-91-0,furin,Clc1ccc(CS[C@H](Cn2cc[nH+]c2)c2ccc(Cl)cc2Cl)cc1,0.7988,0.947,0.4034,0.9906,0.9026,0.3092,397.0094289720899,5.937100000000003,19.07,0,2,6,3,3,24,0.1666666666666666,0.502765756351852
30652-11-0,furin,Cc1c(O)c(=O)ccn1C,0.0934,0.1333,0.2042,0.1789,0.8267,0.8818,139.063328528,0.3993199999999998,42.23,1,3,0,1,1,10,0.2857142857142857,0.5649178764789872
165800-03-3,furin,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,0.5152,0.7633,0.7758,0.9143,0.7585,0.8657,337.1437843399999,1.1235999999999997,71.11,1,5,4,3,1,24,0.5,0.8915973887511962
321-30-2,furin,Nc1ncnc2[nH]cnc12,0.0722,0.3459,0.6323,0.078,0.9239,0.6893,135.05449516,-0.0648999999999999,80.48,2,4,0,2,2,10,0.0,0.5296759293780585
91-33-8,furin,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O,0.0314,0.7526,0.1843,0.3299,0.4897,0.9325,430.98349660799994,2.4335000000000004,118.69,2,6,5,3,2,26,0.1333333333333333,0.7498958613046711
134308-13-7,furin,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,0.3969,0.4924,0.894,0.9898,0.2182,0.4854,273.06372245200004,2.545420000000002,100.67,2,5,3,2,2,20,0.0714285714285714,0.3871048603061818
152459-95-5,furin,Cc1ccc(NC(=O)c2ccc(C[NH+]3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0.6949,0.4427,0.944,0.9772,0.6763,0.3594,494.2662850640901,3.1732200000000015,87.48,3,6,7,5,4,37,0.2413793103448276,0.3659166129867811
82586-55-8,furin,CCOC(=O)[C@H](CCc1ccccc1)[NH2+][C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)[O-],0.9689,0.8742,0.999,0.999,0.4342,0.0075,438.2154720599999,0.2062000000000028,103.35,1,5,9,3,2,32,0.4,0.5638703373109077
475207-59-1,furin,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,0.9717,0.5939,0.9312,0.7795,0.6446,0.8625,464.086302712,5.549700000000003,92.35,3,4,5,3,3,32,0.0952380952380952,0.4613395020059931
75706-12-6,furin,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,0.7095,0.8915,0.9333,0.9618,0.342,0.7774,270.061612188,3.2541200000000012,55.13,1,3,2,2,2,19,0.1666666666666666,0.9108229912132476
41621-49-2,furin,Cc1cc(C2CCCCC2)n([O-])c(=O)c1,0.3551,0.4791,0.4239,0.441,0.0102,0.3087,206.11865233191,2.55032,45.06,0,3,1,2,1,15,0.5833333333333334,0.7084080931990356
4205-91-8,furin,Clc1cccc(Cl)c1NC1=[NH+]CCN1,0.8342,0.9795,0.2679,0.2449,0.1824,0.2646,230.02462910009,0.4450999999999998,38.03,3,2,1,2,1,14,0.2222222222222222,0.6559315977745085
479-18-5,furin,Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O,0.3062,0.5152,0.9041,0.8442,0.9785,0.1669,254.101504928,-2.213099999999999,102.28,2,8,3,2,2,18,0.5,0.6460832424087163
73963-72-1,furin,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,0.99,0.9738,0.6381,0.7782,0.3712,0.2008,369.216475104,3.4647000000000014,81.93,1,6,7,4,2,27,0.6,0.755913406639335
135729-62-3,furin,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1C[N@H+]2CC[C@@H]1CC2,0.4385,0.4683,0.6446,0.6956,0.4565,0.8727,297.19613984009004,1.2393999999999998,24.750000000000004,1,1,1,6,1,22,0.631578947368421,0.8286869281130633
6018-19-5,furin,Nc1ccc(C(=O)[O-])c(O)c1,0.8663,0.5575,0.0381,0.1764,0.5889,0.8813,152.03531663191,-0.6621000000000001,86.38000000000001,2,4,1,1,1,11,0.0,0.5226981672670166
78415-72-2,furin,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,0.6341,0.5353,0.7122,0.6308,0.2028,0.2957,211.074561908,1.617,69.53999999999999,1,3,1,2,2,16,0.0833333333333333,0.7786697771862998
50-35-1,furin,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,0.3435,0.3806,0.3316,0.3013,0.2108,0.015,258.0640568,0.0877999999999999,83.55000000000001,1,4,1,3,1,19,0.2307692307692307,0.7233587999857974
319460-85-0,furin,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,0.6908,0.6137,0.0729,0.6675,0.749,0.9244,386.1201321960001,4.639100000000004,70.67,2,4,5,4,4,28,0.0454545454545454,0.5241908173512972
69-52-3,furin,CC1(C)S[C@@H]2[C@@H](NC(=O)[C@@H]([NH3+])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],0.6351,0.3231,0.9252,0.6726,0.2451,0.5304,349.10962708799997,-1.7333999999999976,117.18,2,5,4,3,1,24,0.4375,0.6263698534142854
6493-05-6,furin,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,0.043,0.4598,0.6109,0.6718,0.0896,0.1279,278.13789043599996,0.193,78.89,0,7,5,2,2,20,0.5384615384615384,0.7314900236053014
183319-69-9,furin,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0.1259,0.0771,0.6563,0.9466,0.5266,0.4074,393.16885621599994,3.405100000000002,74.73000000000002,1,7,10,3,3,29,0.2727272727272727,0.4178840975839869
219861-08-2,furin,C[NH+](C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0.9975,0.7527,0.9152,0.9714,0.3674,0.3747,325.17106796409,2.395880000000001,37.46,1,2,5,3,2,24,0.35,0.9164902384308174
82640-04-8,furin,O=C(c1ccc(OCC[NH+]2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0.8264,0.9509,0.5938,0.3474,0.0169,0.0191,474.1733557960899,4.658100000000006,71.2,3,5,7,5,4,34,0.25,0.3409247092418569
2809-21-4,furin,C[C@](O)(P(=O)([O-])[O-])P(=O)([O-])O,0.7814,0.6478,0.5774,0.1906,0.5202,0.1855,202.95269649973,-2.888199999999999,143.78,2,6,2,0,0,11,1.0,0.4578842124152752
129497-78-5,furin,C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5[nH+]c(cc1[nH]2)C(C)=C5CCC(=O)OC)c(CCC(=O)[O-])c4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC,0.9077,0.9803,0.7855,0.9689,0.4479,0.0678,718.300264304,4.803640000000004,177.64,2,9,9,6,3,53,0.3170731707317073,0.2323314321416605
366-70-1,furin,C[NH2+]NCc1ccc(C(=O)NC(C)C)cc1,0.6574,0.5024,0.5552,0.2414,0.0018,0.0307,222.16008868009,0.0226000000000012,57.74,3,2,5,1,1,16,0.4166666666666667,0.4858594129526428
50-78-2,furin,CC(=O)Oc1ccccc1C(=O)[O-],0.5086,0.1578,0.8406,0.5701,0.4366,0.6442,179.03498228391,-0.0246,66.43,0,4,2,1,1,13,0.1111111111111111,0.4721709057370543
59-67-6,furin,O=C([O-])c1cccnc1,0.0524,0.6438,0.6088,0.7225,0.896,0.7648,122.02475194791,-0.5549000000000002,53.02,0,3,1,1,1,9,0.0,0.5015757599713943
147403-03-0,furin,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,0.9084,0.9496,0.9968,0.999,0.9929,0.9745,456.14336974,4.1918000000000015,123.23999999999998,2,7,7,5,5,34,0.12,0.3762947538170099
51-48-9,furin,[NH3+][C@@H](Cc1cc(I)c(Oc2cc(I)c([O-])c(I)c2)c(I)c1)C(=O)[O-],0.9852,0.998,0.9143,0.7793,0.2078,0.1375,775.6794233799101,1.8737999999999997,100.06,1,4,5,2,2,24,0.1333333333333333,0.4697772394756119
89-57-6,furin,Nc1ccc(O)c(C(=O)[O-])c1,0.0189,0.1424,0.0241,0.0139,0.1135,0.1243,152.03531663191,-0.6621000000000001,86.38,2,4,1,1,1,11,0.0,0.4127367486568201
63675-72-9,furin,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)[C@H]1c1ccccc1[N+](=O)[O-],0.374,0.4272,0.8181,0.4631,0.7055,0.7876,388.16343648799995,3.201800000000002,107.77,1,7,6,2,1,28,0.4,0.4527860366395833
93-14-1,furin,COc1ccccc1OC[C@@H](O)CO,0.9337,0.7787,0.9548,0.9244,0.4275,0.8919,198.089208928,0.4272000000000001,58.92,2,4,5,1,1,14,0.4,0.7198499687675642
56180-94-0,furin,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@@H]([C@H](O)[C@@H](O)C=O)[C@H](O)CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,0.2795,0.7847,0.6125,0.8471,0.1154,0.3201,645.2480135359999,-8.721900000000014,329.01,14,19,13,3,0,44,0.88,0.0652615042977129
25451-15-4,furin,NC(=O)OCC(COC(N)=O)c1ccccc1,0.3103,0.3855,0.8701,0.5867,0.768,0.836,238.095356928,0.9607999999999992,104.64,2,4,5,1,1,17,0.2727272727272727,0.796471019540729
2022-85-7,furin,Nc1nc(=O)[nH]cc1F,0.9344,0.7104,0.6388,0.6993,0.5981,0.4543,129.033839968,-0.5088000000000001,71.77,2,3,0,1,1,9,0.0,0.4952172017431901
554-57-4,furin,CC(=O)Nc1sc(S(N)(=O)=O)n[n+]1C,0.2817,0.3478,0.9835,0.5388,0.4693,0.2678,237.01105856809,-1.4265999999999994,106.03,2,5,2,1,1,14,0.4,0.485692555587665
50-44-2,furin,S=c1[nH]cnc2nc[nH]c12,0.6728,0.6106,0.2627,0.7813,0.9384,0.7397,152.015667128,1.0154899999999998,57.36,2,3,0,2,2,10,0.0,0.5538546640663037
156-57-0,furin,[NH3+]CCS,0.0432,0.0308,0.4611,0.4979,0.0046,0.0496,78.03719667608999,-0.8418999999999999,27.64,2,1,1,0,0,4,1.0,0.3826710259651884
50-01-1,furin,NC(N)=[NH2+],0.0785,0.0699,0.1118,0.1226,0.2768,0.4201,60.05562361208999,-2.9811000000000005,77.63,3,0,0,0,0,4,0.0,0.2059078383213915
99464-64-9,furin,CCOC(=O)O[C@@H](C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21,0.0836,0.0571,0.674,0.526,0.4709,0.8734,447.11002101200006,2.558700000000001,124.13,1,8,6,3,2,31,0.25,0.5292289566712126
82419-36-1,furin,C[C@@H]1COc2c(N3CC[NH+](C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.7728,0.8781,0.7571,0.6721,0.011,0.0407,362.15106079209,0.1269000000000004,76.21000000000001,2,5,2,4,2,26,0.4444444444444444,0.7941990246820108
122647-32-9,furin,CCCCCCC[N@@H+](CC)CCC[C@H](O)c1ccc(NS(C)(=O)=O)cc1,0.9811,0.979,0.942,0.6604,0.216,0.0667,385.2519404640899,2.746900000000001,70.84,3,3,14,1,1,26,0.7,0.4313371447281132
149003-01-0,furin,C[C@@H](CN1CC(=O)NC(=O)C1)[NH+]1CC(=O)[N-]C(=O)C1,0.8104,0.4226,0.0162,0.0567,0.1853,0.3869,268.117154992,-3.341299999999995,102.09,2,5,3,2,0,19,0.6363636363636364,0.5209612072880093
112811-59-3,furin,COc1c(N2CC[NH2+][C@H](C)C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12,0.1974,0.0361,0.0405,0.4875,0.9719,0.3071,375.159434404,-0.3804999999999989,91.21,1,6,4,4,2,27,0.4736842105263157,0.7867122884676202
51803-78-2,furin,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,0.7478,0.6182,0.8034,0.2035,0.0153,0.2497,308.046692484,2.7586000000000013,98.54,1,5,5,2,2,21,0.0769230769230769,0.6760870934103842
29767-20-2,furin,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,0.9777,0.741,0.9493,0.8979,0.8885,0.6718,656.156362084,2.752900000000001,160.83,3,14,6,8,3,46,0.46875,0.3327956777277973
10347-81-6,furin,C[NH2+]CCC[C@]12CC[C@H](c3ccccc31)c1ccccc12,0.6535,0.846,0.7604,0.5477,0.999,0.7035,278.19032618809,3.185200000000002,16.61,1,0,4,5,2,21,0.4,0.827287868802689
53994-73-3,furin,[NH3+][C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Cl)CS[C@H]12)c1ccccc1,0.7822,0.8106,0.2076,0.5215,0.4586,0.5364,367.039354608,-1.4301999999999977,117.18,2,5,4,3,1,24,0.2666666666666666,0.6326134956755325
49562-28-9,furin,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,0.9227,0.8438,0.5336,0.0492,0.0167,0.0382,360.112836832,4.680000000000004,52.6,0,4,6,2,2,25,0.3,0.5540618915195044
51-52-5,furin,CCCc1cc(=O)[nH]c(=S)[nH]1,0.2871,0.1255,0.6819,0.9703,0.9286,0.6358,170.05138394,1.38499,48.65,2,2,2,1,1,11,0.4285714285714285,0.6587322532597095
315-30-0,furin,O=c1[nH]cnc2[nH]ncc12,0.8966,0.8482,0.7307,0.8322,0.501,0.8647,136.038510748,-0.3538,74.43,2,3,0,2,2,10,0.0,0.5192368565638923
1405-10-3,furin,N[C@H]1[C@@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)O[C@@H](C[NH3+])[C@@H](O)[C@@H]1O,0.8675,0.6227,0.2032,0.1587,0.1039,0.4749,617.33411488827,-11.045700000000018,357.97,13,16,9,4,0,42,1.0,0.1140954227655034
58-14-0,furin,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0.8907,0.7728,0.1798,0.1447,0.4863,0.2423,248.082874096,2.5238000000000005,77.82,2,4,2,2,2,17,0.1666666666666666,0.8561371493463951
19237-84-4,furin,COc1cc2[nH+]c(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,0.1846,0.2161,0.4887,0.7409,0.4232,0.4061,384.16663060409,1.2037000000000002,108.2,1,7,4,4,3,28,0.3157894736842105,0.7199663115061383
23288-49-5,furin,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.8889,0.9787,0.622,0.9916,0.2352,0.0714,516.309572776,9.908299999999995,40.46,2,4,4,2,2,35,0.6129032258064516,0.3131966868527805
147-94-4,furin,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,0.7432,0.9016,0.9505,0.9308,0.7822,0.1953,243.085520516,-2.563,130.82999999999998,4,8,2,2,1,17,0.5555555555555556,0.4489304892314893
65-29-2,furin,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,0.8716,0.6525,0.0598,0.1205,0.1066,0.0145,510.4618220402699,5.452500000000005,27.69,0,3,21,1,1,36,0.8,0.2058221894673444
24356-60-3,furin,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1,0.9945,0.9985,0.1803,0.7344,0.3811,0.2144,422.04860081191,-0.8592999999999977,128.73000000000002,1,9,7,3,1,28,0.3529411764705882,0.3389583327822128
186826-86-8,furin,COc1c(N2C[C@@H]3CCC[NH2+][C@@H]3C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12,0.4658,0.4617,0.2467,0.4626,0.8468,0.2659,401.175084468,0.0096000000000013,91.21,1,6,4,5,2,29,0.5238095238095238,0.7794781534995434
101-26-8,furin,CN(C)C(=O)Oc1ccc[n+](C)c1,0.9801,0.9506,0.6434,0.9844,0.912,0.0977,181.09715407609,0.5714999999999999,33.42,0,2,1,1,1,13,0.3333333333333333,0.5934152756520555
15687-27-1,furin,CC(C)Cc1ccc([C@H](C)C(=O)[O-])cc1,0.0524,0.1513,0.3087,0.7706,0.5919,0.484,205.12340336391,1.7385,40.129999999999995,0,2,4,1,1,15,0.4615384615384615,0.7507790478562271
286930-03-8,furin,CC(C)C(=O)Oc1ccc(CO)cc1[C@@H](CC[NH+](C(C)C)C(C)C)c1ccccc1,0.3702,0.4496,0.815,0.8615,0.505,0.1642,412.28462049609,3.964000000000003,50.97,2,3,10,2,2,30,0.5,0.4586748183521858
3424-98-4,furin,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,0.6843,0.8859,0.4694,0.2389,0.7234,0.6596,242.090271548,-1.5142799999999992,104.54999999999998,3,6,2,2,1,17,0.6,0.5842742137821719
14976-57-9,furin,C[N@H+]1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,0.5343,0.8598,0.1068,0.3897,0.8524,0.7826,344.17756858409,3.687300000000003,13.670000000000002,1,1,6,3,2,24,0.4285714285714285,0.8434347002657723
160970-54-7,furin,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)[NH2+]CCOc1ccccc1OCC(F)(F)F,0.3025,0.7397,0.3605,0.5948,0.878,0.7583,496.24176761609,2.0448999999999993,101.63,3,5,13,3,2,35,0.48,0.3686922871485279
3543-75-7,furin,Cn1c(CCCC(=O)[O-])nc2cc(N(CCCl)CCCl)ccc21,0.1556,0.6599,0.4049,0.6018,0.0977,0.7856,356.09380581990996,1.9299,61.190000000000005,0,5,9,2,2,23,0.5,0.6437291201561798
144060-53-7,furin,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)[O-],0.7421,0.8636,0.7535,0.7224,0.0542,0.2051,315.08088691991,2.3885000000000005,86.03999999999999,0,6,5,2,2,22,0.3125,0.8452708717294677
95233-18-4,furin,O=C1C([O-])=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,0.1373,0.74,0.9908,0.999,0.7148,0.3838,365.09499569591,4.307400000000004,57.2,0,3,2,4,2,26,0.2727272727272727,0.7964488091269492
91374-20-8,furin,CCC[NH+](CCC)CCc1cccc2c1CC(=O)N2,0.496,0.2114,0.395,0.6753,0.8266,0.4816,261.19613984009,1.4285999999999992,33.54,2,1,7,2,1,19,0.5625,0.7646979750202495
58186-27-9,furin,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,0.9964,0.9877,0.8007,0.8803,0.1693,0.3141,338.20932406,3.4623000000000026,72.83000000000001,1,5,12,1,0,24,0.6842105263157895,0.4356457601684276
17321-77-6,furin,C[NH+](C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.7879,0.7967,0.0125,0.0406,0.4029,0.7678,315.16225286809,3.1113000000000026,7.680000000000001,1,1,4,3,2,22,0.3684210526315789,0.9106988229239898
117-37-3,furin,COc1ccc(C2=C([O-])c3ccccc3C2=O)cc1,0.5797,0.6015,0.428,0.8534,0.6197,0.9908,251.07136779191,2.1201,49.36,0,3,2,3,2,19,0.0625,0.8210379974881952
62571-86-2,furin,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)[O-],0.9746,0.9984,0.9964,0.9499,0.8246,0.8358,216.06998788791,-0.7068000000000001,60.44,1,4,3,1,0,14,0.7777777777777778,0.6341732873757703
41340-25-4,furin,CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)[O-])OCC3,0.8643,0.7295,0.5875,0.8269,0.1793,0.0213,286.14486707991,2.0483,65.15,1,3,4,3,2,21,0.4705882352941176,0.93515804493898
302962-49-8,furin,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[NH+](CCO)CC2)n1,0.2434,0.9541,0.5696,0.3222,0.3851,0.4945,488.16299820409006,1.8964399999999992,107.71,4,8,7,4,3,33,0.3636363636363636,0.4020252998864373
63-74-1,furin,Nc1ccc(S(N)(=O)=O)cc1,0.9285,0.9489,0.9599,0.9662,0.4393,0.1538,172.030648496,-0.0838,86.18,2,3,1,1,1,11,0.0,0.5805509816764027
2508-72-7,furin,c1ccc(CN(CC2=[NH+]CCN2)c2ccccc2)cc1,0.9348,0.4082,0.2089,0.2724,0.935,0.6239,266.16517406009,0.7755000000000003,29.24,2,2,5,3,2,20,0.2352941176470588,0.8371370374341607
85371-64-8,furin,C[C@@H](N/C(=N\C#N)Nc1ccncc1)C(C)(C)C,0.9272,0.9223,0.978,0.9931,0.0887,0.0595,245.164045608,2.3547800000000008,73.1,2,3,2,1,1,18,0.4615384615384615,0.4763426335858048
58-56-0,furin,Cc1[nH+]cc(CO)c(CO)c1[O-],0.8253,0.5491,0.9366,0.8072,0.2445,0.7752,169.073893212,-1.13268,77.66000000000001,2,3,2,1,1,12,0.375,0.5875409744678217
115256-11-6,furin,C[N@H+](CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,0.8918,0.8629,0.2272,0.7576,0.2041,0.2216,442.14648941608993,0.5658000000000025,106.01,3,5,11,2,2,29,0.3684210526315789,0.4717304836678942
188062-50-2,furin,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,0.2529,0.3198,0.3715,0.6433,0.9047,0.976,286.154209196,1.0922999999999998,101.88,3,7,4,4,2,21,0.5,0.7272302824304794
40828-46-4,furin,C[C@H](C(=O)[O-])c1ccc(C(=O)c2cccs2)cc1,0.5704,0.5828,0.9526,0.9805,0.2765,0.3982,259.04343879191003,1.8325,57.2,0,4,4,2,2,18,0.1428571428571428,0.7870481258790089
139110-80-8,furin,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)[O-])=C[C@@H]1NC(N)=[NH2+],0.8081,0.535,0.9577,0.847,0.9777,0.425,332.1331989800001,-6.730199999999998,202.79,7,7,6,1,0,23,0.5833333333333334,0.1820401720702234
375815-87-5,furin,c1cnc2cc3c(cc2n1)[C@@H]1C[NH2+]C[C@H]3C1,0.011,0.1164,0.1075,0.0498,0.7154,0.01,212.11822386809,0.7777,42.39,1,2,0,4,2,16,0.3846153846153846,0.700857655848039
56211-40-6,furin,Cc1cccc(Nc2cc[nH+]cc2S(=O)(=O)[N-]C(=O)NC(C)C)c1,0.8467,0.9558,0.4327,0.3065,0.43,0.2026,348.1256115,2.7331200000000004,103.51,2,4,5,2,2,24,0.25,0.8666810888857404
58-96-8,furin,O=c1ccn([C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)c(=O)[nH]1,0.8071,0.9287,0.8394,0.9132,0.1975,0.5417,244.069536104,-2.8519,124.78,4,7,2,2,1,17,0.5555555555555556,0.4435105912731592
3366-95-8,furin,Cc1ncc([N+](=O)[O-])n1C[C@H](C)O,0.2529,0.5449,0.2179,0.5105,0.1213,0.1063,185.080041212,0.4805199999999999,81.19,1,5,3,1,1,13,0.5714285714285714,0.5481589825040829
211914-51-1,furin,Cn1c(CNc2ccc(C(N)=[NH2+])cc2)nc2cc(C(=O)N(CCC(=O)[O-])c3ccccn3)ccc21,0.1228,0.2538,0.6525,0.1539,0.4421,0.4834,471.20188766,-0.1683999999999985,154.79000000000002,3,7,9,4,4,35,0.16,0.2261047387910402
150322-43-3,furin,CC(=O)Oc1cc2c(s1)CC[N@H+]([C@@H](C(=O)C1CC1)c1ccccc1F)C2,0.7459,0.8305,0.834,0.7372,0.2967,0.6747,374.1220691720901,2.4739000000000004,47.81,1,4,5,4,2,26,0.4,0.8182889136458763
1744-22-5,furin,Nc1nc2ccc(OC(F)(F)F)cc2s1,0.8903,0.8646,0.5613,0.7229,0.7918,0.5802,234.00746844,2.7771,48.14,1,4,1,2,2,15,0.125,0.8248286060077297
23239-51-2,furin,C[C@H]([NH2+]CCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1,0.9746,0.8582,0.8576,0.8504,0.5839,0.1261,288.15941998409,1.3257999999999994,77.30000000000001,4,3,6,2,2,21,0.2941176470588235,0.6473850874610028
21679-14-1,furin,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0.9725,0.8855,0.5478,0.5432,0.1199,0.4823,285.08733208399997,-1.8409,139.54000000000002,4,9,2,3,2,20,0.5,0.4718336471857848
105816-04-4,furin,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)[O-])CC1,0.9963,0.991,0.9945,0.9628,0.5639,0.3723,316.19181727191,1.9261999999999997,69.23,1,3,6,2,1,23,0.5789473684210527,0.8715900836005785
