id,smiles,source
Z994049548,O=C(Nc1ccc(-c2noc(=O)[nH]2)cc1)[C@@H]1CC(=O)N(c2ccc3c(c2)OCCO3)C1,Enamine
Z1725820258,COCCCCS(=O)(=O)N1CCOC[C@@H]1c1c(C)nn(-c2cccc(OC)c2)c1C,Enamine
Z3595294813,O=C([C@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1)N1CC(c2ncn[nH]2)C1,Enamine
Z109424054,COc1ccc(-c2noc(CCC(=O)Nc3ccc(-c4cc5ccccc5o4)cc3)n2)cc1OC,Enamine
Z46386244,COc1cccc(NC(=O)C[N@H+](C)CC(=O)c2c(N)n(Cc3ccccc3)c(=O)n(C)c2=O)c1,Enamine
Z9192558904,COC(=O)C(C)(C)NC(=O)[C@@H]1c2cc3ccccc3nc2C(=O)N1c1ccc(-n2cccn2)nc1,Enamine
Z1451078172,COc1ccc(C(=O)[C@@H]2CCCN2C(=O)CCc2nc(-c3ccc(Cl)cc3)no2)cc1,Enamine
Z30269195,O=C(Nc1ccc(-c2[nH]c3ccccc3[nH+]2)cc1)[C@@H]1CC(=O)N(c2ccc3c(c2)OCCO3)C1,Enamine
Z5129922097,Cc1c(C(=O)N2CCN(Cc3cn(-c4cc(Cl)c(Cl)cc4Cl)nn3)C(=O)C2)sc2nc3n(c(=O)c12)CCCCC3,Enamine
Z1206708717,COC(=O)c1ccc(/C=C\C(=O)[C@@H](C#N)c2nc(-c3ccncc3)cs2)cc1,Enamine
Z1216730206,COCC[N@@H+]1CCC[C@H](NS(=O)(=O)c2ccc(Oc3ccccc3Cl)cc2)C1,Enamine
Z8836469684,C[N@@H+](Cc1ccc2n[n-]nc2c1)C[C@@H](O)c1ccc(-c2ccccc2)cc1,Enamine
Z46386146,COc1cccc(NC(=O)C[N@@H+](C)CC(=O)Nc2ccc(-c3ccccc3)cc2)c1,Enamine
Z1626126618,Cc1nn(Cc2ccccc2)c(C)c1[C@H]1COCCN1c1ccc(C#N)nn1,Enamine
Z99450827,COc1ccc(CN2CCN(C(=O)CCc3nnc(-c4ccccc4)o3)CC2)cc1F,Enamine
Z9458593995,Cn1cc(-c2ccc([C@@H](O)CCNC(=O)[C@]3([C@H]4CCCO4)CCCO3)cc2)cn1,Enamine
Z2618120801,O=S(=O)(CCN1CCC[C@@H](O)C1)c1ccc(-c2cnn3cccnc23)cc1,Enamine
Z6395296217,N#Cc1cncc(CNS(=O)(=O)c2ccc(-c3ccccc3)cc2)c1,Enamine
Z28667200,O=C(Nc1ccc(-c2cn3ccsc3n2)cc1)[C@@H]1CC(=O)N(c2ccc3c(c2)OCCO3)C1,Enamine
Z1902010628,O[C@@H](C[NH2+]Cc1ccc2cnccc2c1)c1ccc(-c2ccccc2)cc1,Enamine
Z9155114014,CC[C@H](C)n1nnnc1[C@@H](Nc1ccc(N(C)S(=O)(=O)CC)cc1)c1ccc(-c2ccccn2)nc1,Enamine
Z1743219501,COC[C@@H](C)n1ccc([N-]S(=O)(=O)c2ccc(-c3coc(C)n3)cc2)n1,Enamine
Z3313235137,O=c1ccnc([C@H]2CC[N@H+](C[C@H](O)c3ccc(-c4ccccc4)cc3)CC2)[nH]1,Enamine
Z194081098,COc1cc2c(cc1NC(=O)[C@H](C)OC(=O)[C@@H]1CCS(=O)(=O)C1)oc1ccccc12,Enamine
