id,smiles,source
Z9143590268,C[NH2+]Cc1cc(-c2ccc(OC(F)F)nc2)cc(OC)c1OC,Enamine
Z4630178558,C[NH+](C)Cc1cc(-c2ccc(C(C)(C)C#N)nc2)ccc1F,Enamine
Z3484539401,[NH3+]Cc1cc(-c2ccc3cn[nH]c3c2)ccc1F,Enamine
Z5510581162,[NH3+]Cc1cccc(-c2ccn3nccc3c2)c1Cl,Enamine
Z3506538836,CCc1c[nH]c2ncc(-c3cccc([C@H]4[NH2+]CCNC4=O)c3)cc12,Enamine
Z4414832394,Nc1nc(OCC(F)(F)F)c(-c2cccc(C[NH+]3CCOCC3)c2)c[nH+]1,Enamine
Z4414826967,C[NH+](C)Cc1cccc(-c2c[nH+]c(N)nc2OCC(F)(F)F)c1,Enamine
Z4414827000,COc1ccc(-c2c[nH+]c(N)nc2OCC(F)(F)F)cc1C[NH+](C)C,Enamine
Z9155958291,CN(C)C(=O)c1cccc(-c2cccc(C3([NH3+])COC3)c2)c1F,Enamine
Z9155502903,Cc1[nH]nc2ccc(-c3cccc([C@@H]([NH3+])CO)c3)cc12,Enamine
Z9155502902,Cc1[nH]nc2ccc(-c3cccc(C[NH3+])c3)cc12,Enamine
Z2723047372,C[NH+](C)Cc1cc(-c2ccc3c(n2)CCCN3)ccc1F,Enamine
Z7431672685,C[NH2+]Cc1cccc(-c2ccc3c(c2)OCO3)n1,Enamine
Z2763464905,O=C([O-])[C@@]1(C[NH2+]Cc2cccc(-c3ccccn3)c2)CCCOC1,Enamine
Z2170857105,OC[C@@H]([NH2+]Cc1cccc(-c2ccccn2)c1)C1CCCC1,Enamine
Z3686112411,O[C@@H]1C[C@H](Cn2cc(Cl)cn2)C[C@H]1[NH2+]Cc1cccc(-c2ccccn2)c1,Enamine
Z1595614757,C[C@H]([NH2+]Cc1cccc(-c2ccccn2)c1)c1ccc2c(c1)CCC(=O)N2,Enamine
Z2072039666,C[C@H]([NH2+]Cc1cccc(-c2ccccn2)c1)c1ccc2nc([O-])oc2c1,Enamine
Z3686126001,O[C@@H]1C[C@@H](Cn2ccnc2)C[C@H]1[NH2+]Cc1cccc(-c2ccccn2)c1,Enamine
Z1590018152,C[C@@H]([NH2+]Cc1cccc(-c2ccccn2)c1)c1nccn1C,Enamine
Z8783896652,CO[C@@H](C(=O)[O-])[C@H]1C[N@H+](Cc2cccc(-c3ccccn3)c2)C1,Enamine
Z3686056412,CN1C(=O)CC(N2CC[C@@H]([NH2+]Cc3cccc(-c4ccccn4)c3)C2)=NC1=O,Enamine
Z1486332827,CCNC(NCC)=[NH+]Cc1cccc(-c2ccccn2)c1,Enamine
Z3686083029,O[C@@H]1C[C@H](Cn2cccn2)C[C@H]1[NH2+]Cc1cccc(-c2ccccn2)c1,Enamine
Z1860299894,CC(C)[C@H]([NH2+]Cc1cccc(-c2ccccn2)c1)C(=O)[O-],Enamine
Z1754616917,Cc1nn(C)cc1[C@H]1OCC[C@@H]1[NH2+]Cc1cccc(-c2ccccn2)c1,Enamine
Z1765258834,CCO[C@@H]1C[C@](CO)([NH2+]Cc2cccc(-c3ccccn3)c2)C1(C)C,Enamine
Z2385398059,O[C@@H]1C[C@@H](c2ncn[nH]2)C[C@@H]1C[NH2+]Cc1cccc(-c2ccccn2)c1,Enamine
Z1486782195,O=[N+]([O-])c1ccc([C@H](O)[C@H](CO)[NH2+]Cc2cccc(-c3ccccn3)c2)cc1,Enamine
Z3685963793,CO[C@H]1CN(c2cc[nH+]c(N)n2)C[C@H]1[NH2+]Cc1cccc(-c2ccccn2)c1,Enamine
Z3686008547,Cn1c(N2CC[C@@H]([NH2+]Cc3cccc(-c4ccccn4)c3)C2)cc(=O)n(C)c1=O,Enamine
Z3686033466,CCn1c(=O)cc(N2CC[C@H]([NH2+]Cc3cccc(-c4ccccn4)c3)C2)[nH]c1=O,Enamine
Z3000746907,O[C@@H]1CCCC[C@@H]1[N@H+]1CC[C@H]([NH2+]Cc2cccc(-c3ccccn3)c2)CC1,Enamine
Z1679879480,NC(=O)[C@@H](Cc1ccc(Cl)cc1)[NH2+]Cc1cccc(-c2ccccn2)c1,Enamine
Z2385462970,Cc1cnn([C@H]2[C@H](O)C[C@@H]2[NH2+]Cc2cccc(-c3ccccn3)c2)c1,Enamine
Z3351844194,O=C([O-])CC[N@H+]1CC[N@H+](Cc2cccc(-c3ccccn3)c2)CC1,Enamine
Z3256220893,CO[C@H]1C[C@@]([NH2+]Cc2cccc(-c3ccccn3)c2)(C(=O)[O-])C1,Enamine
Z2897336747,CC(C)([NH2+]Cc1cccc(-c2ccccn2)c1)C(C)(C)C(=O)[O-],Enamine
Z1569191930,CS(=O)(=O)N[C@@H]1CC[N@@H+](Cc2cccc(-c3ccccn3)c2)C1,Enamine
